plant_community_code,analysis_name,prominence_value,constancy_percent
CPC18,Galium_boreale,0.12,33.3
CPC18,Helictochloa_hookeri,0.73,58.3
CPC18,Hesperostipa_comata,1.84,75
CPC18,Hesperostipa_curtiseta,4.1,75
CPC18,Heterotheca_villosa,1.18,58.3
CPC18,Juniperus_horizontalis,9.38,100
CPC18,Koeleria_macrantha,2.82,100
CPC18,Populus_tremuloides,2.75,58.3
CPC18,Potentilla_pensylvanica,0.3,25
CPC18,Prunus_virginiana,1.67,50
CPC18,Rosa_woodsii,2.47,66.7
CPC18,Solidago_missouriensis,1.49,100
CPC18,Spiraea_alba,1.56,33.3
CPC18,Sporobolus_rigidus,2,100
CPC18,Symphoricarpos_occidentalis,0.8,25
CPC18,Thermopsis_rhombifolia,0.53,33.3
CPC18,Vicia_americana,0.12,25
CPC21,Achillea_millefolium,1.03,90.9
CPC21,Agoseris_glauca,0.3,45.5
CPC21,Agrostis_scabra,0.26,27.3
CPC21,Amelanchier_alnifolia,1.31,27.3
CPC21,Androsace_septentrionalis,0.27,90.9
CPC21,Antennaria_parvifolia,1.48,27.3
CPC21,Artemisia_frigida,3.87,81.8
CPC21,Artemisia_ludoviciana,1.65,81.8
CPC21,Bouteloua_gracilis,1.42,36.4
CPC21,Bromus_inermis,0.1,27.3
CPC21,Campanula_rotundifolia,0.17,54.5
CPC21,Carex,7.91,90.9
CPC21,Cerastium_arvense,3.46,100
CPC21,Comandra_umbellata,0.96,36.4
CPC21,Elaeagnus_commutata,4.73,100
CPC21,Elymus_trachycaulus,3.66,100
CPC21,Equisetum_hyemale,0.24,45.5
CPC21,Festuca_hallii,1.32,45.5
CPC21,Festuca_saximontana,1.53,81.8
CPC21,Galium_boreale,0.95,54.5
CPC21,Hesperostipa_comata,3.44,100
CPC21,Hesperostipa_curtiseta,5.15,63.6
CPC21,Juncus_balticus,0.12,27.3
CPC21,Juniperus_horizontalis,2.26,27.3
CPC21,Koeleria_macrantha,3.28,100
CPC21,Lithospermum_incisum,0.35,36.4
CPC21,Orthocarpus_luteus,0.07,27.3
CPC21,Poa_interior,0.1,27.3
CPC21,Poa_pratensis,9.29,100
CPC21,Populus_tremuloides,1.36,36.4
CPC21,Prunus_virginiana,2.19,36.4
CPC21,Rosa_woodsii,6.71,100
CPC21,Solidago_missouriensis,2.09,72.7
CPC21,Sporobolus_rigidus,1.04,81.8
CPC21,Stellaria_longifolia,0.12,27.3
CPC21,Symphoricarpos_occidentalis,11.81,100
CPC21,Symphyotrichum_laeve,0.33,27.3
CPC21,Taraxacum_officinale,0.38,27.3
CPC21,Thermopsis_rhombifolia,0.71,63.6
CPC21,Vicia_americana,0.2,45.5
CPC21,Viola_adunca,0.28,27.3
CPC29,Achillea_millefolium,0.58,44.4
CPC29,Arabis_hirsuta,0.26,22.2
CPC29,Artemisia_frigida,1.76,66.7
CPC29,Artemisia_ludoviciana,1.88,44.4
CPC29,Astragalus_laxmannii,0.31,33.3
CPC29,Bouteloua_gracilis,1.83,33.3
CPC29,Bromus_ciliatus,2.78,22.2
CPC29,Campanula_rotundifolia,0.79,55.6
CPC29,Carex_filifolia,0.28,22.2
CPC29,Carex_obtusata,0.4,44.4
CPC29,Carex_pensylvanica,5.66,55.6
